ip_address,name,as_number,as_org,country_code,city,version,error,dnssec,reliability,checked_at,created_at,checked_at,check_result,check_reliability
2a02:2970:1002::18,dns2.digitalcourage.de.,43847,NbIServ,DE,,,,TRUE,0.83,2023-03-03T05:46:36Z,2020-07-17T22:20:28Z,,,
2a01:4f8:151:34aa::198,dnsforge.de.,24940,Hetzner Online GmbH,DE,,,,TRUE,0.99,2023-03-09T21:47:21Z,2020-07-17T22:21:13Z,,,
2001:4860:4860::8844,dns.google.,15169,GOOGLE,US,,,,TRUE,0.94,2023-02-09T22:31:57Z,2020-08-09T19:00:20Z,,,
2604:a880:0:1010::b:4001,,14061,DIGITALOCEAN-ASN,US,New York,[hidden],,TRUE,0.91,2023-03-04T10:46:33Z,2020-08-13T22:17:24Z,,,
2a02:6b8:0:1::feed:bad,secondary.safe.dns.yandex.ru.,13238,YANDEX LLC,RU,Moscow,unbound 1.17.0,,TRUE,1,2023-03-04T03:44:54Z,2020-09-13T18:04:29Z,,,
2a02:6b8::feed:bad,safe.dns.yandex.ru.,13238,YANDEX LLC,RU,Moscow,unbound 1.17.0,,TRUE,1,2023-03-01T18:47:23Z,2020-09-13T18:04:30Z,,,
2620:74:1b::1:1,,397213,SECURITYSERVICES,US,,,,TRUE,1,2023-02-27T23:48:41Z,2020-09-13T18:04:51Z,,,
2620:0:ccc::2,resolver1.ipv6-sandbox.opendns.com.,36692,OPENDNS,US,Lake Charles,,,TRUE,1,2023-03-01T05:44:54Z,2020-09-13T18:05:12Z,,,
2001:470:20::2,ordns.he.net.,6939,HURRICANE,US,,PowerDNS Recursor 4.6.0 (built Dec 15 2021 09:19:27 by root@0d75acfec4af),,TRUE,1,2022-04-22T07:03:19Z,2020-09-13T18:05:13Z,,,
2001:910:800::12,ns0.fdn.fr.,20766,Association Gitoyen,FR,,,,TRUE,1,2023-03-02T01:46:30Z,2020-09-13T18:05:15Z,,,
2001:67c:2b0::2,resolver2.dns.trex.fi.,29432,TREX Regional Exchanges Oy,AT,Vienna,http://www.trex.fi/service/resolvers.html,,TRUE,1,2023-02-28T06:47:57Z,2020-12-25T03:17:52Z,,,
2001:1608:10:25::1c04:b12f,,44066,firstcolo GmbH,DE,,,,TRUE,1,2023-04-20T15:46:15Z,2021-01-01T23:36:54Z,,,
2a03:4000:24:361::6e73:32,ns2.dnshome.de.,197540,netcup GmbH,DE,,PowerDNS Recursor,,FALSE,1,2021-05-03T22:25:01Z,2021-02-09T22:06:07Z,,,
2001:418:3ff::1:53,y.ns.gin.ntt.net.,2914,NTT-LTD-2914,US,,9.11.3-1ubuntu1.18-Ubuntu,,FALSE,1,2023-03-08T22:48:14Z,2021-02-12T11:28:51Z,,,
2001:468:c80:2101:0:100:0:22,yardbird.cns.ipv6.vt.edu.,1312,VA-TECH-AS,US,Blacksburg,fancy new chroot version,,TRUE,1,2023-04-20T15:45:58Z,2021-02-12T11:29:18Z,,,
2001:840:100::,ns1.powertech.no.,2116,Globalconnect As,NO,,PowerDNS Recursor 3.5.3 $Id$,,FALSE,1,2022-12-17T07:07:15Z,2021-02-12T11:30:58Z,,,
2610:a1:1019::1,,397215,SECURITYSERVICES,US,,,,TRUE,1,2023-02-28T06:47:52Z,2021-02-12T12:18:48Z,,,
2a04:52c0:101:75::75,nl.ahadns.net.,60404,The Infrastructure Group B.V.,NL,Dronten,,,TRUE,1,2021-05-03T22:25:14Z,2021-03-19T15:57:29Z,,,
2a0d:5600:33:3::3,ny.ahadns.net.,63473,HOSTHATCH,RO,,,,TRUE,1,2021-05-03T22:24:26Z,2021-03-19T15:57:38Z,,,
2a01:4f8:c17:739a::2,fdns2.dismail.de.,24940,Hetzner Online GmbH,DE,,,,TRUE,1,2021-05-03T22:25:01Z,2021-03-28T20:42:38Z,,,
2a10:50c0::1:ff,dns-unfiltered.adguard.com.,212772,AdGuard Software Limited,CY,,,,TRUE,0.93,2021-05-03T22:25:05Z,2021-03-28T20:47:28Z,,,
2a00:fbe0:1:3802::3,,62113,Kracon ApS,DK,,9.11.29+dampening,,TRUE,1,2021-05-03T22:24:25Z,2021-03-28T20:59:33Z,,,
2a00:f826:8:2::195,,200462,Lennart Seitz,DE,,BIND,,TRUE,1,2023-04-20T15:48:17Z,2021-03-28T21:03:36Z,,,
2a03:4000:4d:c92:88c0:96ff:fec6:b9d,mail.morbitzer.de.,197540,netcup GmbH,DE,,,,FALSE,1,2023-04-20T15:48:34Z,2021-03-28T21:03:36Z,,,
2a00:f826:8:1::254,opennic1.eth-services.de.,200462,Lennart Seitz,DE,,BIND,,TRUE,1,2021-05-03T22:24:39Z,2021-03-28T21:03:36Z,,,
2a02:6b8:0:1::feed:a11,secondary.family.dns.yandex.ru.,13238,YANDEX LLC,RU,Moscow,PowerDNS Recursor 4.0.8 (built Dec 11 2017 10:39:35 by root@4351f9921268),,FALSE,1,2021-04-23T22:25:07Z,2021-03-28T21:28:14Z,,,
2001:148f:fffe::1,odvr.nic.cz.,20701,"CZ.NIC, z.s.p.o.",CZ,,,,TRUE,0.99,2021-05-03T22:24:01Z,2021-03-30T21:54:20Z,,,
2a03:4000:6:e5fc::1,dns.cheazey.net.,197540,netcup GmbH,DE,,dnsmasq-pi-hole-2.85,,FALSE,0.96,2021-05-03T22:24:36Z,2021-04-21T07:04:38Z,,,
2a0c:8fc0:c3e5::1000,dns2.cheazey.net.,202401,Webhosting24 GmbH,DE,,dnsmasq-pi-hole-2.85,,FALSE,0.96,2021-05-03T22:24:14Z,2021-04-21T07:04:40Z,,,
2607:5300:203:7f27:5054:ff:fe45:85b5,root.dns.caramelfox.net.,16276,OVH SAS,CA,,[hidden],,TRUE,0.99,2021-05-03T22:24:48Z,2021-04-27T13:44:46Z,,,
2607:5300:203:7f27:5054:ff:fe57:4a07,ns8.ca.dns.opennic.caramelfox.net.,16276,OVH SAS,CA,,[hidden],,TRUE,0.99,2021-05-03T22:23:51Z,2021-04-27T13:44:47Z,,,
2a10:50c0::2:ff,dns-unfiltered.adguard.com.,212772,AdGuard Software Limited,CY,,,,TRUE,1,2021-09-24T15:03:30Z,2021-09-24T04:08:33Z,,,
2a10:50c0::ad1:ff,dns.adguard.com.,212772,AdGuard Software Limited,CY,,,,TRUE,1,2023-02-26T17:50:06Z,2021-09-24T04:08:33Z,,,
2a10:50c0::ad2:ff,dns.adguard.com.,212772,AdGuard Software Limited,CY,,,,TRUE,1,2021-11-09T18:06:53Z,2021-09-24T04:08:34Z,,,
2001:148f:ffff::1,odvr.nic.cz.,20701,"CZ.NIC, z.s.p.o.",CZ,,,,TRUE,1,2023-04-20T15:48:10Z,2021-09-24T04:08:47Z,,,
2001:878:0:e000:82:e1:f4:a6,deic-lgb.anycast.censurfridns.dk.,1835,Danish network for Research and Education,DK,,9.11.35+dampening,,TRUE,1,2021-11-29T07:31:46Z,2021-09-24T04:08:53Z,,,
2a01:4f8:141:316d::117,dnsforge.de.,24940,Hetzner Online GmbH,DE,Mylau,PowerDNS Recursor 4.5.7 (built Nov  5 2021 07:20:14 by root@cbff30d82427),,TRUE,1,2021-11-21T23:34:55Z,2021-09-24T04:10:27Z,,,
